issue	words	evidence
64	blocked	https://github.com/kvnloo/cua/issues/64#issuecomment-5841890244 ; scripts/repro/handoff/issue-64-block.md ; excerpt: This Linux host is present. It is not the missing machine. ; pinned driver commit c5ee191c02b11448ffefcc38b78b064a87d8ef23 is not an installed release
65	deliverable	https://github.com/kvnloo/cua/issues/65#issuecomment-5841835649 ; scripts/repro/handoff/issue-65-3904.md ; excerpt: Missing machine: macOS
66	deliverable	https://github.com/kvnloo/cua/issues/66#issuecomment-5841778555 ; scripts/repro/handoff/issue-66-comment.md ; excerpt: No batch API was added
67	deliverable	https://github.com/kvnloo/cua/issues/67#issuecomment-5841832968 ; scripts/repro/handoff/issue-67-plan.md ; excerpt: NEEDS DESIGN DECISION
68	deliverable	https://github.com/kvnloo/cua/issues/68#issuecomment-5841209233 ; scripts/repro/handoff/issue-68-map.md ; excerpt: snapshot store invalidated on read
69	deliverable	https://github.com/kvnloo/cua/issues/69#issuecomment-5841779599 ; scripts/repro/handoff/issue-69-measurement.md ; excerpt: verified_outcome_ms
70	deliverable	https://github.com/kvnloo/cua/issues/70#issuecomment-5841210085 ; scripts/repro/handoff/issue-70-scope.md ; excerpt: NO CHANGE NEEDED
71	deliverable	https://github.com/kvnloo/cua/issues/71#issuecomment-5841780594 ; scripts/repro/handoff/issue-71-decision.md ; excerpt: post_dispatch_observation: completed | skipped | unavailable
72	blocked	scripts/repro/handoff/issue-72-block.md ; excerpt: This Linux host is present. It is not the missing machine. ; pinned driver commit c5ee191c02b11448ffefcc38b78b064a87d8ef23 is not an installed release
73	deliverable	scripts/repro/handoff/rfc-3963-delta.md ; excerpt: ## 4. Disposition table
74	deliverable	scripts/repro/handoff/issue-74-queue.md ; excerpt: Nothing in this queue was posted upstream
