number	prefix	disposition	record
21	[RFC experiment]	deliverable	https://github.com/kvnloo/cua/issues/21#issuecomment-5841842537 ; scripts/repro/handoff/issue-21-comparison.json ; excerpt: production_skipping
23	[RFC experiment]	deliverable	https://github.com/kvnloo/cua/issues/23#issuecomment-5841841559 ; scripts/repro/handoff/issue-23-goals.json ; excerpt: premature_stop
24	[RFC experiment]	deliverable	scripts/repro/handoff/issue-24-battery.json ; excerpt: live_success
25	[RFC experiment]	deliverable	https://github.com/kvnloo/cua/issues/25#issuecomment-5841839123 ; scripts/repro/handoff/issue-25-caps.json ; excerpt: wall_time_ms
27	[RFC promotion]	deliverable	https://github.com/kvnloo/cua/issues/27#issuecomment-5841821679 ; scripts/repro/handoff/issue-27-matrix.tsv ; excerpt: include_accessibility_tree
28	[RFC promotion]	deliverable	https://github.com/kvnloo/cua/issues/28#issuecomment-5841799755 ; scripts/repro/handoff/issue-28-note.md ; excerpt: optional_visual_observation
29	[RFC promotion]	deliverable	https://github.com/kvnloo/cua/issues/29#issuecomment-5841836715 ; scripts/repro/handoff/issue-29-checklist.md ; excerpt: This branch adds no public field
30	[RFC promotion]	deliverable	https://github.com/kvnloo/cua/issues/30#issuecomment-5841798649 ; scripts/repro/handoff/issue-30-transitions.md ; excerpt: run.py
31	[RFC promotion]	deliverable	https://github.com/kvnloo/cua/issues/31#issuecomment-5841041622 ; scripts/repro/handoff/issue-31-manifest.json ; excerpt: historical_green_certifies
32	[RFC promotion]	deliverable	https://github.com/kvnloo/cua/issues/32#issuecomment-5841822732 ; scripts/repro/handoff/issue-32-negative.md ; excerpt: Pretends success
33	[RFC promotion]	deliverable	scripts/repro/handoff/issue-33-injections.json ; excerpt: response lost
34	[RFC promotion]	deliverable	https://github.com/kvnloo/cua/issues/34#issuecomment-5841800887 ; scripts/repro/handoff/issue-34-privacy.md ; excerpt: SECRET-MARKER
35	[RFC promotion]	deliverable	https://github.com/kvnloo/cua/issues/35#issuecomment-5841801869 ; scripts/repro/handoff/issue-35-budget.md ; excerpt: do not add a CI wall-clock gate
36	[RFC promotion]	deliverable	scripts/repro/handoff/issue-36-sessions.json ; excerpt: concurrent_processes
37	[RFC promotion]	deliverable	https://github.com/kvnloo/cua/issues/37#issuecomment-5841797635 ; scripts/repro/handoff/issue-37-fallback.md ; excerpt: visual
38	[RFC promotion]	deliverable	https://github.com/kvnloo/cua/issues/38#issuecomment-5841042181 ; scripts/repro/handoff/issue-38-commands.json ; excerpt: generator_check
39	[RFC consolidation]	deliverable	https://github.com/kvnloo/cua/issues/39#issuecomment-5841813733 ; scripts/repro/handoff/issue-39-inventory.json ; excerpt: recipe-local
40	[RFC consolidation]	deliverable	scripts/repro/handoff/issue-40-semantic.json ; excerpt: one executable candidate
41	[RFC consolidation]	deliverable	https://github.com/kvnloo/cua/issues/41#issuecomment-5841838139 ; scripts/repro/handoff/issue-41-schema.md ; excerpt: Candidate envelope, unchanged
42	[RFC consolidation]	deliverable	https://github.com/kvnloo/cua/issues/42#issuecomment-5841814772 ; scripts/repro/handoff/issue-42-overlap.md ; excerpt: do not import each other
43	[RFC consolidation]	deliverable	https://github.com/kvnloo/cua/issues/43#issuecomment-5841815783 ; scripts/repro/handoff/issue-43-graph.md ; excerpt: does not import
44	[RFC consolidation]	deliverable	https://github.com/kvnloo/cua/issues/44#issuecomment-5841816755 ; scripts/repro/handoff/issue-44-routing.json ; excerpt: fast-path
45	[RFC consolidation]	deliverable	https://github.com/kvnloo/cua/issues/45#issuecomment-5841817588 ; scripts/repro/handoff/issue-45-ledger.tsv ; excerpt: not measured
46	[RFC consolidation]	deliverable	https://github.com/kvnloo/cua/issues/46#issuecomment-5841889526 ; scripts/repro/handoff/issue-46-projection.json ; excerpt: receipts
47	[RFC consolidation]	deliverable	https://github.com/kvnloo/cua/issues/47#issuecomment-5841889690 ; scripts/repro/handoff/issue-47-history.json ; excerpt: measured_success
48	[RFC consolidation]	deliverable	https://github.com/kvnloo/cua/issues/48#issuecomment-5841889913 ; scripts/repro/handoff/issue-48-parity.json ; excerpt: not run
49	[RFC consolidation]	deliverable	https://github.com/kvnloo/cua/issues/49#issuecomment-5841819744 ; scripts/repro/handoff/issue-49-spike.md ; excerpt: second harness
50	[RFC consolidation]	deliverable	https://github.com/kvnloo/cua/issues/50#issuecomment-5841820708 ; scripts/repro/handoff/issue-50-docs.md ; excerpt: unedited
51	[RFC pruning]	deliverable	https://github.com/kvnloo/cua/issues/51#issuecomment-5841786836 ; scripts/repro/handoff/ownership.tsv ; excerpt: caller/recipe-local
52	[RFC pruning]	deliverable	https://github.com/kvnloo/cua/issues/52#issuecomment-5841787918 ; scripts/repro/handoff/decision-table.tsv ; excerpt: BLOCKED
53	[RFC pruning]	deliverable	https://github.com/kvnloo/cua/issues/53#issuecomment-5841217853 ; scripts/repro/handoff/issue-53-diagram.md ; excerpt: Not unified
54	[RFC pruning]	deliverable	https://github.com/kvnloo/cua/issues/54#issuecomment-5841783972 ; scripts/repro/handoff/issue-54-recommendation.md ; excerpt: cap at 2
55	[RFC pruning]	deliverable	https://github.com/kvnloo/cua/issues/55#issuecomment-5841773898 ; scripts/repro/handoff/issue-55-consumers.md ; excerpt: No new public field
56	[RFC pruning]	deliverable	https://github.com/kvnloo/cua/issues/56#issuecomment-5841788966 ; scripts/repro/handoff/issue-56-architecture.md ; excerpt: does not add a service
57	[RFC pruning]	deliverable	https://github.com/kvnloo/cua/issues/57#issuecomment-5841218654 ; scripts/repro/handoff/issue-57-dataflow.md ; excerpt: Reusable helpers: none
58	[RFC pruning]	deliverable	https://github.com/kvnloo/cua/issues/58#issuecomment-5841219609 ; scripts/repro/handoff/issue-58-routing.md ; excerpt: Deleted: a second verifier type
59	[RFC pruning]	deliverable	https://github.com/kvnloo/cua/issues/59#issuecomment-5841782884 ; scripts/repro/handoff/issue-59-contract.md ; excerpt: Caller guarded run
60	[RFC pruning]	deliverable	https://github.com/kvnloo/cua/issues/60#issuecomment-5841775336 ; scripts/repro/handoff/sequences.md ; excerpt: stale refusal
61	[RFC pruning]	deliverable	https://github.com/kvnloo/cua/issues/61#issuecomment-5841784924 ; scripts/repro/handoff/rfc-3963-delta.md ; excerpt: ## 1. North-star
62	[RFC pruning]	deliverable	https://github.com/kvnloo/cua/issues/62#issuecomment-5841785856 ; scripts/repro/handoff/promotion-dag.json ; excerpt: READY NOW
63	[RFC assimilation]	deliverable	https://github.com/kvnloo/cua/issues/63#issuecomment-5841890086 ; scripts/repro/handoff/issue-63-packet.md ; excerpt: Verdict withheld
64	[RFC assimilation]	blocked	https://github.com/kvnloo/cua/issues/64#issuecomment-5841890244 ; scripts/repro/handoff/issue-64-block.md ; excerpt: This Linux host is present. It is not the missing machine. ; pinned driver commit c5ee191c02b11448ffefcc38b78b064a87d8ef23 is not an installed release
65	[RFC assimilation]	deliverable	https://github.com/kvnloo/cua/issues/65#issuecomment-5841835649 ; scripts/repro/handoff/issue-65-3904.md ; excerpt: Missing machine: macOS
66	[RFC assimilation]	deliverable	https://github.com/kvnloo/cua/issues/66#issuecomment-5841778555 ; scripts/repro/handoff/issue-66-comment.md ; excerpt: No batch API was added
67	[RFC assimilation]	deliverable	https://github.com/kvnloo/cua/issues/67#issuecomment-5841832968 ; scripts/repro/handoff/issue-67-plan.md ; excerpt: NEEDS DESIGN DECISION
68	[RFC assimilation]	deliverable	https://github.com/kvnloo/cua/issues/68#issuecomment-5841209233 ; scripts/repro/handoff/issue-68-map.md ; excerpt: snapshot store invalidated on read
69	[RFC assimilation]	deliverable	https://github.com/kvnloo/cua/issues/69#issuecomment-5841779599 ; scripts/repro/handoff/issue-69-measurement.md ; excerpt: verified_outcome_ms
70	[RFC assimilation]	deliverable	https://github.com/kvnloo/cua/issues/70#issuecomment-5841210085 ; scripts/repro/handoff/issue-70-scope.md ; excerpt: NO CHANGE NEEDED
71	[RFC assimilation]	deliverable	https://github.com/kvnloo/cua/issues/71#issuecomment-5841780594 ; scripts/repro/handoff/issue-71-decision.md ; excerpt: NO PUBLIC FIELD
72	[RFC assimilation]	blocked	scripts/repro/handoff/issue-72-block.md ; excerpt: This Linux host is present. It is not the missing machine. ; pinned driver commit c5ee191c02b11448ffefcc38b78b064a87d8ef23 is not an installed release
73	[RFC assimilation]	deliverable	scripts/repro/handoff/rfc-3963-delta.md ; excerpt: ## 4. Disposition table
74	[RFC assimilation]	deliverable	scripts/repro/handoff/issue-74-queue.md ; excerpt: Nothing in this queue was posted upstream
