id,feature,section,requirement,primary_architecture_owner,decision_view,architecture_status,acceptance_state,packages,remap_note,scope,smallest_delta_or_test,original_candidate_owners,new_public_contract_required,recorded_architecture_decision_required
R032,F-observation,Phase 1A.3,Use the existing tree-only observation selector when semantic evidence suffices.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P03,Two distinct small seams: lazy optional vision in callers; exact selector forwarding inside native verifier. The main optional-visual path already suppresses the AX producer.,Do not claim universal observation savings. Browser and native per-call paths require their own measured controls.,Reuse include_screenshot=false; benchmark the requested workload.,C-mac-observe C-recipe,false,false
R033,F-observation,Phase 1A.3,Use the existing screenshot-only selector when pixels suffice.,caller,L5,partial_present_plus_verified_projection_gap,not_requalified_this_pass,P03 P04,Caller optional_visual_observation already sets include_accessibility_tree=false. The verifier provider does not pass that selector on its final image-only request.,Do not claim universal observation savings. Browser and native per-call paths require their own measured controls.,Extend existing ToolObservationProvider selector forwarding; measure producer work and preserve _observation_only. Caller lazy vision is separate.,C-mac-observe C-recipe,false,false
R034,F-observation,Phase 1A.3,Keep both modalities when cross-modal grounding is required.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P03,Two distinct small seams: lazy optional vision in callers; exact selector forwarding inside native verifier. The main optional-visual path already suppresses the AX producer.,Do not claim universal observation savings. Browser and native per-call paths require their own measured controls.,Do not trade away decision-relevant evidence for a faster microbenchmark.,C-mac-observe C-recipe,false,false
R035,F-observation,Phase 1A.3,Record requested modality frequencies and individual costs.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P03,Two distinct small seams: lazy optional vision in callers; exact selector forwarding inside native verifier. The main optional-visual path already suppresses the AX producer.,Do not claim universal observation savings. Browser and native per-call paths require their own measured controls.,Distinguish producer work eliminated from smaller serialized output.,cua-4052,false,false
R036,F-observation,Phase 1A.3,Keep projection choices caller-owned and defaults unchanged in Phase 1A.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P03,Two distinct small seams: lazy optional vision in callers; exact selector forwarding inside native verifier. The main optional-visual path already suppresses the AX producer.,Do not claim universal observation savings. Browser and native per-call paths require their own measured controls.,"A compact-by-default screenshot change is a separate decision, not a prerequisite.",cua-3931 cua-2969,false,false
R037,F-observation,Phase 1A.3,"Preserve exact target, coordinate and capture bindings under projection.",contract,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P03 P04,Carry exact native/browser/image binding under the installed schema. Generated SDK portability is a subset; unsupported options must not silently change semantics.,RFC target; exact feature qualification remains separate,Do not invent pixel geometry from omitted or stale data.,C-capture cua-3942,false,false
R038,F-observation,Phase 1A.3,Honor the installed supported input contract and explicit platform limitations.,contract,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P03,Carry exact native/browser/image binding under the installed schema. Generated SDK portability is a subset; unsupported options must not silently change semantics.,RFC target; exact feature qualification remains separate,Do not accept a semantic option then silently ignore it on another platform.,C-mac-observe cua-2512,false,false
R039,F-observation,Phase 1A.3,"Retain explicit incompleteness for capped, filtered or unreadable observations.",walk-budget,L5,existing_mechanisms_scoped,not_requalified_this_pass,P03 P05,Use WalkOutcome for native truncation and semantic_v2 coverage for browser scope. Shared words do not make the evidence domains identical.,RFC target; exact feature qualification remains separate,Reduced traversal must not imply exhaustive absence.,C-walk-budget cua-3787 cua-3903,false,false
R040,F-observation,Phase 1A.3,Prove an omitted producer operation actually does not run.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P03 P04,Two distinct small seams: lazy optional vision in callers; exact selector forwarding inside native verifier. The main optional-visual path already suppresses the AX producer.,Do not claim universal observation savings. Browser and native per-call paths require their own measured controls.,"Audit optional verification screenshots, which currently still omit the AX-skip argument.",C-expectation C-mac-observe,false,false
R041,F-observation,Phase 1A.3,Measure observation savings end to end on representative workloads.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P03,Two distinct small seams: lazy optional vision in callers; exact selector forwarding inside native verifier. The main optional-visual path already suppresses the AX producer.,Do not claim universal observation savings. Browser and native per-call paths require their own measured controls.,Cheap AX on one fixture does not make all observation optimization pointless.,cua-3906 cua-3882 cua-1757,false,false
R042,F-verification,Phase 1A.4–5,Construct each executable candidate with its expected postcondition.,caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P06,Compile candidate expectations in the caller. Reuse native verify_state only for expressible native predicates; keep the browser application oracle independent.,RFC target; exact feature qualification remains separate,Use caller-owned action plus expect and snapshot binding; do not ask the model to invent verification.,C-recipe,false,false
R043,F-verification,Phase 1A.4–5,Compile postconditions before dispatch rather than after the mutation.,caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P06,Compile candidate expectations in the caller. Reuse native verify_state only for expressible native predicates; keep the browser application oracle independent.,RFC target; exact feature qualification remains separate,Reject missing or unsupported verification requirements before admitting a guarded run.,C-recipe cua-2794,false,false
R044,F-verification,Phase 1A.4–5,Reuse shared verify_state instead of adding another predicate engine.,verify-tool,L6,existing_native_implementation_scoped,not_requalified_this_pass,P04,Existing native verification owns tri-state sampling and _observation_only. No new predicate engine; the private flag is not a public action shortcut.,RFC target; exact feature qualification remains separate,Extend the same observation provider only where its contract supports the evidence.,C-expectation cua-3903,false,false
R045,F-verification,Phase 1A.4–5,Use bounded predicate waits instead of unconditional sleep-and-assume.,verify-tool,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P05,"A sleep interval, predicate polling deadline, native setup budget and job lifetime are different. Preserve current application oracle and agree on timing meaning before changing it.",RFC target; exact feature qualification remains separate,Measure verification cost; do not add another wait on top of an existing equivalent wait.,C-expectation,false,false
R046,F-verification,Phase 1A.4–5,"Preserve satisfied, unsatisfied and unknown as distinct outcomes.",verify-tool,L6,existing_native_implementation_scoped,not_requalified_this_pass,P06,Existing native verification owns tri-state sampling and _observation_only. No new predicate engine; the private flag is not a public action shortcut.,RFC target; exact feature qualification remains separate,Current element.exists=false is explicitly unsupported; do not compile it as available.,C-expectation cua-4009,false,false
R047,F-verification,Phase 1A.4–5,"Treat timeout, ambiguity and unknown as reobserve or escalation, never success.",verify-tool,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P05,"A sleep interval, predicate polling deadline, native setup budget and job lifetime are different. Preserve current application oracle and agree on timing meaning before changing it.",RFC target; exact feature qualification remains separate,"Use exact refusal/outcome assertions, not merely a false boolean.",C-expectation cua-3903,false,false
R048,F-verification,Phase 1A.4–5,Do not automatically retry a mutation after inconclusive verification.,verify-tool,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P06,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Delivered-but-unverified is not safely retryable.,cua-4009 cua-3623,false,false
R049,F-verification,Phase 1A.4–5,Preserve action-token/cache lifetime during read-only verification.,verify-tool,L6,existing_native_implementation_scoped,not_requalified_this_pass,P04,Existing native verification owns tri-state sampling and _observation_only. No new predicate engine; the private flag is not a public action shortcut.,RFC target; exact feature qualification remains separate,Retain the internal observation-only path rather than publishing a replacement action snapshot.,C-expectation cua-3473,false,false
R050,F-verification,Phase 1A.4–5,"Report satisfied, timeout, unknown and wait duration by postcondition.",verify-tool,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P04 P05,"A sleep interval, predicate polling deadline, native setup budget and job lifetime are different. Preserve current application oracle and agree on timing meaning before changing it.",RFC target; exact feature qualification remains separate,Keep native observation time and caller wait time distinguishable.,cua-4052 C-expectation,false,false
R051,F-verification,Phase 1A.4–5,Keep the simpler strategy where predicate waits are slower without benefit.,verify-tool,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P05,"A sleep interval, predicate polling deadline, native setup budget and job lifetime are different. Preserve current application oracle and agree on timing meaning before changing it.",RFC target; exact feature qualification remains separate,Benchmark actual completed tasks; no mandatory new SettlePolicy abstraction.,C-expectation,false,false
R052,F-guarded,Phase 1B,Obtain explicit approval to relax the one-frame/one-action recipe rule.,contract,L3,recorded_decision_required,not_requalified_this_pass,P07,Do not treat overlap or a tiny diff as approval; existing accepted boundaries constrain the proposed extension.,RFC target; exact feature qualification remains separate,Recipe-local does not mean exempt from an accepted execution invariant.,G-guarded cua-3931,false,true
R053,F-guarded,Phase 1B,Let the caller construct complete bounded runs and expose only run IDs.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P07,Caller run experiment and Driver desktop composition are separate. A later action needs fresh proven prerequisites; a consumed capture cannot be reused. Acceptance awaits the appropriate decision/evidence.,RFC target; exact feature qualification remains separate,No free-form model-generated action program.,C-recipe cua-2794,false,true
R054,F-guarded,Phase 1B,Start with a small 2–4 action experimental cap.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P07,Caller run experiment and Driver desktop composition are separate. A later action needs fresh proven prerequisites; a consumed capture cannot be reused. Acceptance awaits the appropriate decision/evidence.,RFC target; exact feature qualification remains separate,Do not inherit a historical 32-action public-composite cap as the optimum.,C-recipe,false,true
R055,F-guarded,Phase 1B,Allow at most one action to use the originating observation directly.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P07,Caller run experiment and Driver desktop composition are separate. A later action needs fresh proven prerequisites; a consumed capture cannot be reused. Acceptance awaits the appropriate decision/evidence.,RFC target; exact feature qualification remains separate,Later snapshot-bound targets require fresh resolution.,G-guarded C-recipe,false,true
R056,F-guarded,Phase 1B,Re-establish every later action prerequisite after the preceding mutation.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P07,Caller run experiment and Driver desktop composition are separate. A later action needs fresh proven prerequisites; a consumed capture cannot be reused. Acceptance awaits the appropriate decision/evidence.,RFC target; exact feature qualification remains separate,State-invariance must be proven; stable native-handle lifetime alone is insufficient.,C-recipe C-expectation,false,true
R057,F-guarded,Phase 1B,"Validate, authorize and execute each child through existing mechanisms.",caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P07,Caller run experiment and Driver desktop composition are separate. A later action needs fresh proven prerequisites; a consumed capture cannot be reused. Acceptance awaits the appropriate decision/evidence.,RFC target; exact feature qualification remains separate,A batch wrapper cannot grant authority or bypass child validation.,C-tool cua-2794,false,true
R058,F-guarded,Phase 1B,Verify each declared postcondition before continuing the run.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P07,Caller run experiment and Driver desktop composition are separate. A later action needs fresh proven prerequisites; a consumed capture cannot be reused. Acceptance awaits the appropriate decision/evidence.,RFC target; exact feature qualification remains separate,Successful tool return alone is not a satisfied dependency.,C-expectation cua-2794,false,true
R059,F-guarded,Phase 1B,"Stop the remaining run on the first unmet, unknown, stale or ambiguous dependency.",caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P07,Caller run experiment and Driver desktop composition are separate. A later action needs fresh proven prerequisites; a consumed capture cannot be reused. Acceptance awaits the appropriate decision/evidence.,RFC target; exact feature qualification remains separate,Retain already-executed partial effects; no fabricated rollback.,cua-2794 C-recipe,false,true
R060,F-guarded,Phase 1B,Keep guarded-run behavior opt-in until accepted evidence exists.,contract,L3,recorded_decision_required,not_requalified_this_pass,P07,Do not treat overlap or a tiny diff as approval; existing accepted boundaries constrain the proposed extension.,RFC target; exact feature qualification remains separate,Default remains the conservative single-action loop.,G-guarded C-recipe,false,true
R061,F-guarded,Phase 1B,"Measure run lengths, early stops, postcondition failures and stale incidents.",caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P07,Caller run experiment and Driver desktop composition are separate. A later action needs fresh proven prerequisites; a consumed capture cannot be reused. Acceptance awaits the appropriate decision/evidence.,RFC target; exact feature qualification remains separate,Count Driver actions separately from model decisions.,cua-4052 C-recipe,false,true
R062,F-guarded,Phase 1B,Require fewer decisions and lower completed-task latency without correctness regression.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P07,Caller run experiment and Driver desktop composition are separate. A later action needs fresh proven prerequisites; a consumed capture cannot be reused. Acceptance awaits the appropriate decision/evidence.,RFC target; exact feature qualification remains separate,One stale-action incident fails the candidate; mostly single-action runs may not justify batching.,G0 G-native,false,true
R063,F-guarded,Phase 1B,Keep desktop composites and browser recipe runs distinct unless scope is explicitly extended.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P07,Caller run experiment and Driver desktop composition are separate. A later action needs fresh proven prerequisites; a consumed capture cannot be reused. Acceptance awaits the appropriate decision/evidence.,RFC target; exact feature qualification remains separate,The existing desktop-composite proposal excludes browser child tools; it cannot directly host the DOM recipe.,cua-2794 C-browser,false,true
R064,F-shadow,Phase 2A,Obtain a recorded decision on shadow research and its ownership boundary.,contract,L3,recorded_decision_required,not_requalified_this_pass,P08,Do not treat overlap or a tiny diff as approval; existing accepted boundaries constrain the proposed extension.,RFC target; exact feature qualification remains separate,Do not smuggle historical snapshots into a consolidation RFC that explicitly defers them.,G-shadow cua-3473,false,true
R065,F-shadow,Phase 2A,Continue taking fresh observations during shadow-state research.,browser-store,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P08,"Partition native snapshot, browser document and immutable image owners. Shadow diagnostics never become action authority or proof that a future observation can be skipped.",RFC target; exact feature qualification remains separate,Reconciliation must not suppress a capture in Phase 2A.,G-shadow C-capture,false,true
R066,F-shadow,Phase 2A,Bind identities using exact native/lifecycle evidence or guaranteed browser identity.,browser-store,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P08,"Partition native snapshot, browser document and immutable image owners. Shadow diagnostics never become action authority or proof that a future observation can be skipped.",RFC target; exact feature qualification remains separate,Names and approximate positions alone are not identity.,C-element-cache C-browser,false,true
R067,F-shadow,Phase 2A,Abstain on ambiguous identity instead of guessing a match.,browser-store,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P08,"Partition native snapshot, browser document and immutable image owners. Shadow diagnostics never become action authority or proof that a future observation can be skipped.",RFC target; exact feature qualification remains separate,Retained native references still need target freshness checks.,cua-3873 C-element-cache,false,true
R068,F-shadow,Phase 2A,"Record revisions and retained, added, removed and ambiguous identities.",browser-store,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P08,"Partition native snapshot, browser document and immutable image owners. Shadow diagnostics never become action authority or proof that a future observation can be skipped.",RFC target; exact feature qualification remains separate,Use research diagnostics first; no second authoritative state registry.,G-shadow cua-4052,false,true
R069,F-shadow,Phase 2A,"Record changed fields, invalidation source and reconciliation duration.",browser-store,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P08,"Partition native snapshot, browser document and immutable image owners. Shadow diagnostics never become action authority or proof that a future observation can be skipped.",RFC target; exact feature qualification remains separate,Comparison results must retain their source observation identity.,G-shadow C-capture,false,true
R070,F-shadow,Phase 2A,Share reconciliation only where cross-platform evidence semantics truly match.,browser-store,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P08,"Partition native snapshot, browser document and immutable image owners. Shadow diagnostics never become action authority or proof that a future observation can be skipped.",RFC target; exact feature qualification remains separate,"Keep AX, UIA and AT-SPI native retain/release details in adapters.",cua-3473 cua-3931,false,true
R071,F-shadow,Phase 2A,"Measure identity retention, ambiguity and application churn on real targets.",browser-store,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P08,"Partition native snapshot, browser document and immutable image owners. Shadow diagnostics never become action authority or proof that a future observation can be skipped.",RFC target; exact feature qualification remains separate,Controlled models do not establish native identity stability.,G-native G-shadow,false,true
R072,F-shadow,Phase 2A,Stop when reconciliation approaches observation cost or useful retention vanishes.,browser-store,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P08,"Partition native snapshot, browser document and immutable image owners. Shadow diagnostics never become action authority or proof that a future observation can be skipped.",RFC target; exact feature qualification remains separate,Retention is not valuable merely because a cache hit counter increases.,G-shadow,false,true
R073,F-shadow,Phase 2A,Reject any false binding that could authorize an incorrect mutation.,browser-store,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P08,"Partition native snapshot, browser document and immutable image owners. Shadow diagnostics never become action authority or proof that a future observation can be skipped.",RFC target; exact feature qualification remains separate,No speed claim overrides this safety gate.,G-shadow cua-3473,false,true
R074,F-conditional,Phase 2B,Require useful shadow identity results before conditional-observation promotion.,browser-store,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P09,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,"This is a research/acceptance dependency, not proof an existing snapshot PR implements it.",F-shadow G-conditional,true,true
R075,F-conditional,Phase 2B,Require positive evidence that relevant state has not changed.,browser-store,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P09,Existing browser document/liveness checks are not proof all requested semantic/visual fields stayed unchanged. Keep fresh read default and distinct not-modified response until a new guarantee is proven.,RFC target; exact feature qualification remains separate,Two equal past captures cannot justify skipping the next capture.,G-conditional C-capture,true,true
R076,F-conditional,Phase 2B,Define browser navigation and document invalidation guarantees.,browser-store,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P09,Existing browser document/liveness checks are not proof all requested semantic/visual fields stayed unchanged. Keep fresh read default and distinct not-modified response until a new guarantee is proven.,RFC target; exact feature qualification remains separate,"Recycled refs, reconnection and document changes must invalidate relevant evidence.",C-browser G-conditional,true,true
